Candidate,Party,Votes,State,Constituency,State-code,Constituency-code
LATIKA SHARMA,Bharatiya Janata Party,50347,Haryana,Kalka,S07,1
PARDEEP CHAUDHARY,Indian National Lok Dal,31320,Haryana,Kalka,S07,1
MANVIR KAUR,Indian National Congress,19139,Haryana,Kalka,S07,1
SATVINDER SINGH RANA,Bahujan Samaj Party,9817,Haryana,Kalka,S07,1
SHAKTI RANI SHARMA,Haryana Jan Chetna Party (V),7661,Haryana,Kalka,S07,1
SUDESH SHARMA,Independent,2435,Haryana,Kalka,S07,1
AJAIB SINGH,Independent,1301,Haryana,Kalka,S07,1
VIJAY BANSAL,Independent,807,Haryana,Kalka,S07,1
SUNIL KUMAR,Independent,265,Haryana,Kalka,S07,1
SWARN SINGH GURJAR,Haryana Lokhit Party,242,Haryana,Kalka,S07,1
AMIT SHARMA,Rashtriya Lokswaraj Party,194,Haryana,Kalka,S07,1
CHANDER KANTA,Smast Bhartiya Party,147,Haryana,Kalka,S07,1
None of the Above,None of the Above,888,Haryana,Kalka,S07,1
GIAN CHAND GUPTA,Bharatiya Janata Party,69916,Haryana,Panchkula,S07,2
KUL BHUSHAN GOYAL,Indian National Lok Dal,25314,Haryana,Panchkula,S07,2
DEVENDER  KUMAR  BANSAL,Indian National Congress,15564,Haryana,Panchkula,S07,2
VINOD BAGAI,Independent,7545,Haryana,Panchkula,S07,2
RAVINDER  RAWAL,Haryana Janhit Congress (BL),3778,Haryana,Panchkula,S07,2
VISHAW DEEPAK SHARMA,Bahujan Samaj Party,1363,Haryana,Panchkula,S07,2
HARENDER  SINGH,Independent,834,Haryana,Panchkula,S07,2
R. S. SATHI,Communist Party of India  (Marxist),592,Haryana,Panchkula,S07,2
RAKESH    GILL,Independent,577,Haryana,Panchkula,S07,2
MAMCHAND   BASIA,Communist Party of India,567,Haryana,Panchkula,S07,2
HEM SINGH,Independent,400,Haryana,Panchkula,S07,2
JAGDEEP SHARMA,Independent,355,Haryana,Panchkula,S07,2
SONIA GAUR,Independent,336,Haryana,Panchkula,S07,2
VIJAY SINGH,Independent,218,Haryana,Panchkula,S07,2
RAM SARUP,Independent,207,Haryana,Panchkula,S07,2
ASHOK GUPTA,Independent,74,Haryana,Panchkula,S07,2
SHAKTI  SINGH,Haryana Lokhit Party,65,Haryana,Panchkula,S07,2
None of the Above,None of the Above,1073,Haryana,Panchkula,S07,2
NAYAB SINGH,Bharatiya Janata Party,55931,Haryana,Naraingarh,S07,3
RAM KISHAN,Indian National Congress,31570,Haryana,Naraingarh,S07,3
RAM SINGH KORWA,Bahujan Samaj Party,30736,Haryana,Naraingarh,S07,3
JAGMAL SINGH ROLLON,Indian National Lok Dal,16836,Haryana,Naraingarh,S07,3
BHOOM SINGH,Haryana Janhit Congress (BL),3101,Haryana,Naraingarh,S07,3
RANDHIR SINGH,Bhartiya Shakti Chetna Party,916,Haryana,Naraingarh,S07,3
COMRADE TEK CHAND,Communist Party of India  (Marxist),701,Haryana,Naraingarh,S07,3
SURESH KUMAR PUNIA,Smast Bhartiya Party,226,Haryana,Naraingarh,S07,3
None of the Above,None of the Above,539,Haryana,Naraingarh,S07,3
ANIL VIJ,Bharatiya Janata Party,66605,Haryana,Ambala Cantt.,S07,4
CH. NIRMAL SINGH,Indian National Congress,51143,Haryana,Ambala Cantt.,S07,4
SURAJ PARKASH JINDAL,Indian National Lok Dal,5407,Haryana,Ambala Cantt.,S07,4
CHARAN SINGH,Bahujan Samaj Party,885,Haryana,Ambala Cantt.,S07,4
JAGTAR SINGH,Independent,614,Haryana,Ambala Cantt.,S07,4
VINOD,Independent,448,Haryana,Ambala Cantt.,S07,4
SATISH KAPOOR,Haryana Jan Chetna Party (V),186,Haryana,Ambala Cantt.,S07,4
SEWA SINGH,Independent,182,Haryana,Ambala Cantt.,S07,4
