Constituency,Constituency-code,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Status,State,State-code
Adampur,47,KULDEEP BISHNOI,Haryana Janhit Congress (BL),KULVEER SINGH BENIWAL,Indian National Lok Dal,17249,Result Declared,Haryana,S07
Ambala Cantt.,4,ANIL VIJ,Bharatiya Janata Party,CH. NIRMAL SINGH,Indian National Congress,15462,Result Declared,Haryana,S07
Ambala City,5,ASEEM GOEL,Bharatiya Janata Party,VENOD SHARMA,Haryana Jan Chetna Party (V),23252,Result Declared,Haryana,S07
Assandh,23,BAKHSHISH  SINGH VIRK,Bharatiya Janata Party,MARATHA VIRENDER VERMA,Bahujan Samaj Party,4608,Result Declared,Haryana,S07
Ateli,68,SANTOSH YADAV,Bharatiya Janata Party,SATBIR,Indian National Lok Dal,48601,Result Declared,Haryana,S07
Badhra,55,SUKHVINDER,Bharatiya Janata Party,RANBIR SINGH MAHENDRA,Indian National Congress,5006,Result Declared,Haryana,S07
Badkhal,87,SEEMA TRIKHA,Bharatiya Janata Party,MAHENDER PARTAP SINGH,Indian National Congress,36609,Result Declared,Haryana,S07
Badli,65,OM PARKASH DHANKAR,Bharatiya Janata Party,KULDEEP VATS,Independent,9266,Result Declared,Haryana,S07
Badshahpur,76,NARBIR SINGH,Bharatiya Janata Party,RAKESH DAULTABAD,Indian National Lok Dal,18132,Result Declared,Haryana,S07
Bahadurgarh,64,NARESH KAUSHIK,Bharatiya Janata Party,RAJINDER SINGH JOON,Indian National Congress,4882,Result Declared,Haryana,S07
Ballabhgarh,88,MOOL CHAND SHARMA,Bharatiya Janata Party,LAKHAN KUMAR SINGLA,Indian National Congress,53098,Result Declared,Haryana,S07
Baroda,33,SRI KRISHAN,Indian National Congress,DR. KAPOOR SINGH NARWAL,Indian National Lok Dal,5183,Result Declared,Haryana,S07
Barwala,51,VED NARANG,Indian National Lok Dal,SURENDER PUNIA,Bharatiya Janata Party,10261,Result Declared,Haryana,S07
Bawal (SC),72,DR. BANWARI LAL,Bharatiya Janata Party,SHYAM SUNDER,Indian National Lok Dal,37391,Result Declared,Haryana,S07
Bawani Khera (SC),59,BISHAMBER SINGH,Bharatiya Janata Party,DAYA BHURTANA,Indian National Lok Dal,2559,Result Declared,Haryana,S07
Beri,67,DR.RAGHUVIR SINGH KADIAN,Indian National Congress,CHATAR SINGH,Independent,4493,Result Declared,Haryana,S07
Bhiwani,57,GHANSHYAM SARAF,Bharatiya Janata Party,NIRMLA SARAF,Indian National Lok Dal,28597,Result Declared,Haryana,S07
Dabwali,43,NAINA SINGH CHAUTALA,Indian National Lok Dal,DR.KAMALVIR SINGH,Indian National Congress,8545,Result Declared,Haryana,S07
Dadri,56,RAJDEEP,Indian National Lok Dal,SOMVIR,Bharatiya Janata Party,1610,Result Declared,Haryana,S07
Ellenabad,46,ABHAY SINGH CHAUTALA,Indian National Lok Dal,PAWAN BENIWAL,Bharatiya Janata Party,11539,Result Declared,Haryana,S07
Faridabad,89,VIPUL GOEL,Bharatiya Janata Party,ANAND KAUSHIK,Indian National Congress,44781,Result Declared,Haryana,S07
Faridabad NIT,86,NAGENDER BHADANA,Indian National Lok Dal,PANDIT SHIV CHARAN LAL SHARMA,Independent,2914,Result Declared,Haryana,S07
Fatehabad,40,BALWAN SINGH DAULATPURIA,Indian National Lok Dal,DURA RAM,Haryana Janhit Congress (BL),3505,Result Declared,Haryana,S07
Ferozepur Jhirka,80,NASEEM AHMED,Indian National Lok Dal,MAMMAN KHAN,Independent,3245,Result Declared,Haryana,S07
Ganaur,28,KULDIP SHARMA,Indian National Congress,NIRMAL RANI,Indian National Lok Dal,7543,Result Declared,Haryana,S07
Garhi Sampla-Kiloi,61,BHUPINDER SINGH HOODA,Indian National Congress,SATISH KUMAR NANDAL,Indian National Lok Dal,47185,Result Declared,Haryana,S07
Gharaunda,22,HARVINDER KALYAN,Bharatiya Janata Party,NARENDER SANGWAN,Indian National Lok Dal,17883,Result Declared,Haryana,S07
Gohana,32,JAGBIR SINGH MALIK,Indian National Congress,DR.KRISHAN CHANDER BANGER,Indian National Lok Dal,3228,Result Declared,Haryana,S07
Guhla (SC),15,KULWANT RAM BAZIGAR,Bharatiya Janata Party,DILLU RAM,Indian National Congress,2440,Result Declared,Haryana,S07
Gurgaon,77,UMESH AGGARWAL,Bharatiya Janata Party,GOPI CHAND GAHLOT,Indian National Lok Dal,84095,Result Declared,Haryana,S07
Hansi,50,RENUKA BISHNOI,Haryana Janhit Congress (BL),UMED SINGH LOHAN,Indian National Lok Dal,14652,Result Declared,Haryana,S07
Hathin,82,KEHAR SINGH,Indian National Lok Dal,HARSH KUMAR,Bharatiya Janata Party,6372,Result Declared,Haryana,S07
Hisar,52,DR.KAMAL GUPTA S/O MANPHOOL SINGH,Bharatiya Janata Party,SAVITRI JINDAL,Indian National Congress,13646,Result Declared,Haryana,S07
Hodal (SC),83,UDAI BHAN,Indian National Congress,JAGDISH NAYAR,Indian National Lok Dal,11680,Result Declared,Haryana,S07
Indri,20,KARAN DEV KAMBOJ,Bharatiya Janata Party,USHA KASHYAP,Indian National Lok Dal,23875,Result Declared,Haryana,S07
Israna (SC),26,KRISHAN LAL PANWAR,Bharatiya Janata Party,BALBIR SINGH,Indian National Congress,1828,Result Declared,Haryana,S07
Jagadhri,8,KANWAR PAL S/O CHANDAN SINGH,Bharatiya Janata Party,AKRAM KHAN,Bahujan Samaj Party,34156,Result Declared,Haryana,S07
Jhajjar (SC),66,GEETA BHUKKAL,Indian National Congress,SADHU RAM,Indian National Lok Dal,26584,Result Declared,Haryana,S07
Jind,36,DR. HARI CHAND MIDDHA,Indian National Lok Dal,SURINDER SINGH BARWALA,Bharatiya Janata Party,2257,Result Declared,Haryana,S07
Julana,34,PARMINDER SINGH DHULL,Indian National Lok Dal,DHARMENDER SINGH DHULL,Indian National Congress,22806,Result Declared,Haryana,S07
Kaithal,17,RANDEEP SINGH SURJEWALA,Indian National Congress,KAILASH BHAGAT,Indian National Lok Dal,23675,Result Declared,Haryana,S07
Kalanaur (SC),63,SHAKUNTLA KHATAK,Indian National Congress,RAM AVTAR BALMIKI,Bharatiya Janata Party,3972,Result Declared,Haryana,S07
Kalawali (SC),42,BALKAUR SINGH,Shiromani Akali Dal,SHISHPAL KEHARWALA,Indian National Congress,12965,Result Declared,Haryana,S07
Kalayat,16,BHAI JAI PARKASH (J.P.),Independent,RAM PAL MAJRA,Indian National Lok Dal,8390,Result Declared,Haryana,S07
Kalka,1,LATIKA SHARMA,Bharatiya Janata Party,PARDEEP CHAUDHARY,Indian National Lok Dal,19027,Result Declared,Haryana,S07
Karnal,21,MANOHAR LAL KHATTAR,Bharatiya Janata Party,JAI PARKASH GUPTA KARNAL,Independent,63773,Result Declared,Haryana,S07
Kharkhauda (SC),30,JAIVEER SINGH,Indian National Congress,PAWAN KUMAR,Independent,14182,Result Declared,Haryana,S07
Kosli,73,BIKRAM SINGH THEKEDAR,Bharatiya Janata Party,JAGDISH YADAV,Indian National Lok Dal,10767,Result Declared,Haryana,S07
Ladwa,11,DR. PAWAN SAINI,Bharatiya Janata Party,BACHAN KAUR BARSHAMI,Indian National Lok Dal,2992,Result Declared,Haryana,S07
Loharu,54,OM PARKASH BARWA,Indian National Lok Dal,JAI PARKASH DALAL,Bharatiya Janata Party,2095,Result Declared,Haryana,S07
Mahendragarh,69,RAM  BILASH  SHARMA,Bharatiya Janata Party,DAN SINGH RAO,Indian National Congress,34491,Result Declared,Haryana,S07
Meham,60,ANAND SINGH DANGI,Indian National Congress,SHAMSHER SINGH KHARKARA,Bharatiya Janata Party,9657,Result Declared,Haryana,S07
Mulana (SC),6,SANTOSH CHAUHAN SARWAN,Bharatiya Janata Party,RAJBIR SINGH,Indian National Lok Dal,5649,Result Declared,Haryana,S07
Nalwa,53,RANBIR GANGWA,Indian National Lok Dal,CHANDER MOHAN,Haryana Janhit Congress (BL),7115,Result Declared,Haryana,S07
Nangal chaudhry,71,ABHE SINGH YADAV,Bharatiya Janata Party,MANJU,Indian National Lok Dal,981,Result Declared,Haryana,S07
Naraingarh,3,NAYAB SINGH,Bharatiya Janata Party,RAM KISHAN,Indian National Congress,24361,Result Declared,Haryana,S07
Narnaul,70,OM PRAKASH,Bharatiya Janata Party,KAMLESH,Indian National Lok Dal,4573,Result Declared,Haryana,S07
Narnaund,49,CAPTAIN ABHIMANYU,Bharatiya Janata Party,RAJ SINGH MOR,Indian National Lok Dal,5761,Result Declared,Haryana,S07
Narwana (SC),38,PIRTHI SINGH,Indian National Lok Dal,"SANTOSH RANI,",Bharatiya Janata Party,9152,Result Declared,Haryana,S07
